Business Date,Net Sales
2026-07-01,481.32
2026-07-02,642.09
2026-07-03,1070.06
2026-07-04,890.41
2026-07-05,342.34
2026-07-06,571.17
2026-07-07,681.73
2026-07-08,719.4
2026-07-09,651.19
2026-07-10,973.08
2026-07-11,1225.24
2026-07-12,656.9
2026-07-13,549.03
2026-07-14,583.55
2026-07-15,437.46
2026-07-16,532.71
2026-07-17,847.21
2026-07-18,995.5
2026-07-19,564.81
2026-07-20,473.35
2026-07-21,538.91
2026-07-22,617.29
2026-07-23,562.88
2026-07-24,787.78
2026-07-25,937.69
2026-07-26,508.69
2026-07-27,485.41
2026-07-28,492.2
2026-07-29,712.58
2026-07-30,595.79
2026-07-31,913.4
