Business Date,Order ID,Location,Channel,Menu Item Name,Category,Quantity,Unit Price,Gross Sales,Discounts,Refunds,Net Sales,Sales Tax
2026-07-09,ORD-1172,Main Dining Room,Dine In,House Rum Punch,Liquor,1,11.99,11.99,0.0,0,11.99,0.99
2026-07-09,ORD-1173,Main Dining Room,Dine In,House Rum Punch,Liquor,1,11.99,11.99,0.6,0,11.39,0.94
2026-07-09,ORD-1174,Main Dining Room,Dine In,Fish Tacos,Frozen Goods,1,15.99,15.99,0.0,0,15.99,1.32
2026-07-09,ORD-1175,Main Dining Room,Dine In,Fish and Chips,Frozen Goods,3,18.99,56.97,0.0,0,56.97,4.7
2026-07-09,ORD-1176,Main Dining Room,Dine In,Lemonade,Produce,3,4.5,13.5,0.0,0,13.5,1.11
2026-07-09,ORD-1177,Main Dining Room,Dine In,Fish Tacos,Frozen Goods,4,15.99,63.96,0.0,0,63.96,5.28
2026-07-09,ORD-1178,Main Dining Room,Dine In,Chicken Basket,Frozen Goods,4,15.99,63.96,3.2,0,60.76,5.01
2026-07-09,ORD-1179,Main Dining Room,Dine In,Steak Sandwich,Dry Goods,4,17.99,71.96,3.6,0,68.36,5.64
2026-07-09,ORD-1180,Main Dining Room,Dine In,Side Salad,Produce,2,8.99,17.98,0.9,0,17.08,1.41
2026-07-09,ORD-1181,Main Dining Room,Dine In,Wing Sampler,Frozen Goods,1,24.99,24.99,0.0,0,24.99,2.06
2026-07-09,ORD-1182,Main Dining Room,Dine In,Buffalo Wings,Frozen Goods,3,16.99,50.97,2.55,0,48.42,3.99
2026-07-09,ORD-1183,Main Dining Room,Dine In,Nacho Platter,Misc,2,13.99,27.98,0.0,0,27.98,2.31
2026-07-09,ORD-1184,Main Dining Room,Dine In,Side Salad,Produce,3,8.99,26.97,0.0,0,26.97,2.23
2026-07-09,ORD-1185,Main Dining Room,Dine In,Chicken Basket,Frozen Goods,4,15.99,63.96,0.0,0,63.96,5.28
2026-07-09,ORD-1186,Main Dining Room,Dine In,Side Salad,Produce,4,8.99,35.96,0.0,0,35.96,2.97
2026-07-09,ORD-1187,Main Dining Room,Dine In,House Margarita,Liquor,4,11.99,47.96,0.0,0,47.96,3.96
2026-07-09,ORD-1188,Main Dining Room,Dine In,Garden Salad,Produce,2,10.99,21.98,0.0,0,21.98,1.81
2026-07-09,ORD-1189,Main Dining Room,Dine In,Tequila Sunrise,Liquor,3,10.99,32.97,0.0,0,32.97,2.72
